iter	RMSE
0	867.8057515
1	862.2028496
2	857.4364423
3	852.7670305
4	848.6502698
5	844.5446902
6	840.6609249
7	836.8801837
8	833.7591532
9	830.8525653
10	827.9153932
11	825.3033295
12	822.8428619
13	820.4252606
14	818.1573155
15	816.0545693
16	814.0082204
17	812.1133662
18	810.3789402
19	808.564152
20	807.0196797
21	805.6357464
22	804.260675
23	802.9311152
24	801.6516148
25	800.5302341
26	799.3033165
27	798.1509111
28	797.0759857
29	796.1615738
30	795.3111267
31	794.4136666
32	793.5092032
33	792.7493293
34	791.8796099
35	791.1138647
36	790.4698722
37	789.7362876
38	789.1122512
39	788.5104903
40	787.8527555
41	787.2587106
42	786.7067103
43	786.184221
44	785.6915473
45	785.2241293
46	784.8020637
47	784.2885797
48	783.8071813
49	783.3324747
50	782.8232202
51	782.4090084
52	781.9757707
53	781.5882057
54	781.2309573
55	780.8987889
56	780.4565394
57	780.1201333
58	779.6935487
59	779.3749521
60	778.9550983
61	778.6656889
62	778.3441437
63	778.0484874
64	777.7679239
65	777.4576499
66	777.1739254
67	776.9064811
68	776.6415499
69	776.3938449
70	776.1427268
71	775.9250803
72	775.7168122
73	775.4560093
74	775.2176253
75	774.8978944
76	774.6740937
77	774.444314
78	774.1891501
79	773.9605454
80	773.7492524
81	773.5695467
82	773.3272729
83	773.1714689
84	772.9741954
85	772.8006597
86	772.5811103
87	772.368216
88	772.1627545
89	771.9594814
90	771.7903079
91	771.6411977
92	771.4719705
93	771.2826417
94	771.0903168
95	770.9242087
96	770.7440781
97	770.5916985
98	770.4089306
99	770.2410982
100	770.0831544
101	769.9424123
102	769.8184814
103	769.6538995
104	769.4656624
105	769.3208577
106	769.1177875
107	768.9720268
108	768.8608745
109	768.6737338
110	768.5575374
111	768.380192
112	768.2321645
113	768.0959631
114	767.921515
115	767.7508432
116	767.6107656
117	767.4828168
118	767.3734502
119	767.2392763
120	767.1478552
121	767.0351964
122	766.9023672
123	766.7432221
124	766.5746008
125	766.4190832
126	766.2951087
127	766.1391806
128	766.0108233
129	765.849937
130	765.7074059
131	765.6016374
132	765.4948316
133	765.4062023
134	765.2990953
135	765.1765822
136	765.0818717
137	764.9207722
138	764.7888424
139	764.6640604
140	764.5084283
141	764.4346747
142	764.3371119
143	764.2446015
144	764.1376939
145	764.0441838
146	763.953743
147	763.810447
148	763.7220198
149	763.6455456
150	763.5395403
151	763.4313806
152	763.3299558
153	763.2033084
154	763.0761386
155	762.9559233
156	762.8763263
157	762.7767907
158	762.6869976
159	762.5991229
160	762.4506673
161	762.339563
162	762.2698135
163	762.2171146
164	762.105751
165	762.0165237
166	761.9332461
167	761.8217511
168	761.6928065
169	761.5592049
170	761.4656404
171	761.4003989
172	761.244238
173	761.1673887
174	761.0283638
175	760.9378722
176	760.8116987
177	760.6528717
178	760.5353265
179	760.4538565
180	760.3556916
181	760.2655264
182	760.1997937
183	760.0981684
184	760.0188881
185	759.9591221
186	759.8828878
187	759.8147092
188	759.7334926
189	759.609414
190	759.5339474
191	759.4531618
192	759.3559166
193	759.2100538
194	759.1205805
195	759.0446671
196	758.9424134
197	758.8354236
198	758.7343917
199	758.6496919
200	758.5668666
201	758.487969
202	758.4083694
203	758.3348282
204	758.2637515
205	758.1859778
206	758.1192594
207	758.0333147
208	757.9534007
209	757.8694793
210	757.7528139
211	757.6901747
212	757.5854838
213	757.5045015
214	757.3880888
215	757.3266256
216	757.2855497
217	757.1903227
218	757.1276086
219	757.0588124
220	756.9983267
221	756.9226605
222	756.8108583
223	756.7293889
224	756.6469284
225	756.532456
226	756.4605034
227	756.3830254
228	756.3042232
229	756.2354148
230	756.1530871
231	756.0720638
232	755.9820999
233	755.9194184
234	755.8090111
235	755.7405146
236	755.6852627
237	755.6163172
238	755.5424967
239	755.4501374
240	755.3933195
241	755.3266258
242	755.2336084
243	755.1852284
244	755.0913335
245	755.0126693
246	754.9152368
247	754.8420355
248	754.7677966
249	754.6960491
250	754.6315481
251	754.5823062
252	754.5033764
253	754.4315437
254	754.3257299
255	754.2489691
256	754.1842477
257	754.0948778
258	753.9898261
259	753.9090806
260	753.8247042
261	753.7100753
262	753.5945525
263	753.5242045
264	753.4271375
265	753.3772245
266	753.2993897
267	753.2316096
268	753.1362762
269	753.0510228
270	752.9743715
271	752.8750806
272	752.8235173
273	752.7227237
274	752.6597896
275	752.5948391
276	752.4898831
277	752.4043783
278	752.3256023
279	752.2484613
280	752.1619348
281	752.1020285
282	752.0464918
283	751.9765564
284	751.8975456
285	751.8403316
286	751.7478385
287	751.6519175
288	751.5414201
289	751.4796413
290	751.3912084
291	751.3295631
292	751.2361315
293	751.157009
294	751.0796418
295	751.008384
296	750.9252257
297	750.8529523
298	750.7846337
299	750.7115084
300	750.6163784
301	750.545539
302	750.4830312
303	750.3770492
304	750.289373
305	750.2397388
306	750.1958414
307	750.1025007
308	750.0393328
309	749.9599932
310	749.8899313
311	749.8365648
312	749.7721594
313	749.6745788
314	749.6094635
315	749.540205
316	749.4842723
317	749.3891111
318	749.3417762
319	749.2492905
320	749.1793326
321	749.0776737
322	748.9884514
323	748.927542
324	748.8641266
325	748.7543138
326	748.6541019
327	748.5856113
328	748.5101259
329	748.4017302
330	748.3238668
331	748.2635017
332	748.200294
333	748.0966352
334	748.0360999
335	747.9791753
336	747.9170677
337	747.8512821
338	747.7319269
339	747.6653464
340	747.571633
341	747.5146325
342	747.4404681
343	747.3387174
344	747.2389623
345	747.1569498
346	747.0998411
347	747.0604218
348	746.933688
349	746.8411399
350	746.7637435
351	746.6837479
352	746.5981152
353	746.5148747
354	746.4517936
355	746.3594642
356	746.271268
357	746.202468
358	746.1437428
359	746.0771911
360	745.9837972
361	745.9214497
362	745.8617322
363	745.8129397
364	745.7506268
365	745.6993497
366	745.6559608
367	745.5715567
368	745.4933408
369	745.4138389
370	745.3429706
371	745.2950185
372	745.2028967
373	745.126414
374	745.0362123
375	744.9701246
376	744.8970334
377	744.8095773
378	744.742679
379	744.6572624
380	744.5867569
381	744.5258442
382	744.4528209
383	744.3842164
384	744.3323426
385	744.2753931
386	744.2099125
387	744.1103136
388	744.0637383
389	744.0112973
390	743.9194816
391	743.8432857
392	743.7553808
393	743.7018401
394	743.6330778
395	743.5485788
396	743.4839165
397	743.4212052
398	743.3516985
399	743.2708417
400	743.2146694
401	743.15004
402	743.0456345
403	742.9937512
404	742.9323562
405	742.8602272
406	742.7959509
407	742.7162906
408	742.6306273
409	742.558157
410	742.4978557
411	742.4204713
412	742.3725142
413	742.3041016
414	742.2204385
415	742.1749048
416	742.0832135
417	742.0093956
418	741.9372868
419	741.8785024
420	741.8139368
421	741.7591588
422	741.711343
423	741.6712633
424	741.6165485
425	741.5388514
426	741.4838452
427	741.4174731
428	741.352894
429	741.2618737
430	741.2372184
431	741.1831705
432	741.1283575
433	741.0617109
434	741.0298215
435	740.9697304
436	740.8968373
437	740.8476531
438	740.7856019
439	740.6919803
440	740.6259633
441	740.5682821
442	740.5113998
443	740.4539707
444	740.3972349
445	740.3497189
446	740.2861357
447	740.1962615
448	740.1356905
449	740.0826531
450	740.0262609
451	739.9798622
452	739.9080367
453	739.8353737
454	739.7638327
455	739.7106661
456	739.6424323
457	739.578386
458	739.5175396
459	739.460161
460	739.39734
461	739.324942
462	739.2430455
463	739.1711809
464	739.1295119
465	739.0560128
466	739.0107655
467	738.9506063
468	738.8645193
469	738.7819719
470	738.7125317
471	738.6568713
472	738.6250122
473	738.5715969
474	738.5097889
475	738.4438815
476	738.3790698
477	738.3221806
478	738.2736207
479	738.1998668
480	738.1286801
481	738.0731414
482	738.0073091
483	737.9522213
484	737.8908933
485	737.8414232
486	737.7870071
487	737.7513167
488	737.6588251
489	737.6067373
490	737.5602543
491	737.5137815
492	737.4718534
493	737.4245126
494	737.3584885
495	737.2798159
496	737.228499
497	737.1673584
498	737.0955895
499	737.0400861
500	736.9520104
501	736.9222407
502	736.8804693
503	736.8436325
504	736.7818506
505	736.7368733
506	736.674803
507	736.6114935
508	736.5374764
509	736.4769261
510	736.4128993
511	736.3815667
512	736.3283807
513	736.3007997
514	736.2574423
