iter	Passed	Remaining
0	110	110351
1	149	74510
2	181	60156
3	211	52715
4	260	51786
5	289	47945
6	329	46735
7	360	44740
8	407	44888
9	439	43471
10	470	42276
11	501	41275
12	531	40337
13	561	39559
14	595	39082
15	630	38750
16	673	38970
17	712	38884
18	744	38435
19	769	37713
20	811	37847
21	845	37572
22	881	37430
23	908	36931
24	933	36406
25	959	35940
26	996	35918
27	1032	35827
28	1073	35941
29	1110	35903
30	1139	35629
31	1168	35343
32	1207	35396
33	1238	35185
34	1266	34910
35	1308	35033
36	1339	34869
37	1372	34733
38	1401	34544
39	1444	34656
40	1476	34531
41	1505	34331
42	1538	34233
43	1569	34105
44	1612	34228
45	1641	34051
46	1673	33929
47	1708	33878
48	1739	33753
49	1771	33651
50	1807	33627
51	1837	33499
52	1867	33363
53	1907	33419
54	1935	33258
55	1963	33106
56	1996	33028
57	2026	32907
58	2062	32899
59	2104	32971
60	2133	32835
61	2162	32710
62	2201	32749
63	2238	32737
64	2277	32766
65	2311	32704
66	2338	32569
67	2375	32563
68	2406	32473
69	2434	32347
70	2462	32218
71	2495	32166
72	2525	32070
73	2551	31922
74	2573	31744
75	2601	31629
76	2631	31539
77	2659	31439
78	2691	31382
79	2719	31276
80	2747	31172
81	2784	31175
82	2812	31078
83	2843	31003
84	2873	30933
85	2903	30855
86	2933	30789
87	2963	30716
88	3000	30708
89	3031	30648
90	3065	30625
91	3115	30746
92	3151	30736
93	3196	30810
94	3242	30892
95	3270	30799
96	3309	30810
97	3339	30737
98	3370	30678
99	3409	30683
100	3439	30611
101	3470	30554
102	3496	30446
103	3531	30425
104	3568	30420
105	3598	30346
106	3627	30277
107	3660	30235
108	3702	30267
109	3733	30204
110	3769	30193
111	3801	30143
112	3834	30100
113	3863	30029
114	3897	29994
115	3930	29953
116	3999	30182
117	4052	30288
118	4123	30530
119	4185	30694
120	4249	30868
121	4301	30958
122	4357	31070
123	4411	31163
124	4461	31229
125	4508	31272
126	4565	31386
127	4612	31425
128	4662	31483
129	4712	31540
130	4741	31454
131	4774	31395
132	4810	31360
133	4845	31315
134	4889	31327
135	4924	31284
136	4952	31196
137	4977	31088
138	5009	31029
139	5036	30937
140	5073	30907
141	5112	30890
142	5161	30933
143	5194	30879
144	5229	30836
145	5264	30793
146	5293	30715
147	5318	30618
148	5347	30539
149	5376	30464
150	5407	30405
151	5442	30363
152	5479	30336
153	5503	30233
154	5531	30157
155	5567	30121
156	5596	30051
157	5629	29999
158	5661	29945
159	5688	29862
160	5714	29780
161	5746	29727
162	5778	29672
163	5804	29589
164	5837	29542
165	5863	29458
166	5896	29409
167	5928	29360
168	5975	29382
169	6006	29324
170	6043	29300
171	6091	29325
172	6150	29401
173	6188	29376
174	6218	29315
175	6250	29265
176	6281	29209
177	6311	29144
178	6350	29124
179	6378	29055
180	6402	28971
181	6430	28899
182	6464	28862
183	6492	28792
184	6520	28727
185	6549	28661
186	6576	28591
187	6609	28548
188	6643	28506
189	6671	28440
190	6705	28400
191	6731	28326
192	6763	28282
193	6790	28213
194	6819	28153
195	6879	28219
196	6907	28155
197	6936	28096
198	6978	28087
199	7001	28006
200	7039	27983
201	7067	27919
202	7094	27854
203	7120	27782
204	7150	27731
205	7185	27694
206	7212	27629
207	7242	27577
208	7272	27523
209	7299	27461
210	7330	27412
211	7358	27350
212	7386	27290
213	7413	27229
214	7447	27192
215	7475	27133
216	7501	27069
217	7544	27063
218	7573	27009
219	7609	26977
220	7733	27261
221	7803	27348
222	7829	27281
223	7863	27239
224	7895	27195
225	7928	27152
226	7963	27118
227	7991	27059
228	8024	27015
229	8054	26964
230	8084	26913
231	8113	26859
232	8161	26867
233	8195	26829
234	8225	26775
235	8256	26727
236	8284	26671
237	8315	26624
238	8347	26580
239	8381	26540
240	8411	26490
241	8445	26452
242	8481	26420
243	8508	26361
244	8536	26307
245	8569	26265
246	8594	26202
247	8621	26143
248	8649	26088
249	8679	26039
250	8712	25997
251	8748	25968
252	8779	25922
253	8805	25862
254	8832	25803
255	8859	25749
256	8894	25715
257	8922	25661
258	8951	25609
259	8979	25556
260	9008	25506
261	9043	25473
262	9073	25425
263	9101	25375
264	9131	25326
265	9174	25317
266	9208	25280
267	9236	25229
268	9266	25180
269	9294	25128
270	9322	25077
271	9362	25057
272	9391	25008
273	9422	24966
274	9447	24907
275	9501	24923
276	9557	24944
277	9636	25026
278	9686	25032
279	9734	25031
280	9787	25044
281	9840	25055
282	9910	25108
283	9960	25110
284	10004	25099
285	10045	25078
286	10091	25071
287	10134	25054
288	10205	25107
289	10246	25085
290	10303	25103
291	10334	25057
292	10375	25035
293	10424	25033
294	10458	24993
295	10501	24976
296	10533	24931
297	10574	24911
298	10611	24879
299	10640	24826
300	10674	24789
301	10705	24743
302	10733	24689
303	10772	24664
304	10802	24615
305	10833	24570
306	10860	24515
307	10889	24465
308	10917	24415
309	10948	24369
310	10983	24333
311	11015	24291
312	11044	24240
313	11071	24187
314	11109	24158
315	11142	24118
316	11183	24095
317	11212	24046
318	11239	23993
319	11265	23938
320	11296	23894
321	11323	23842
322	11350	23789
323	11383	23749
324	11413	23705
325	11441	23655
326	11470	23607
327	11496	23554
328	11532	23521
329	11560	23471
330	11589	23424
331	11636	23412
332	11688	23412
333	11731	23392
334	11775	23375
335	11808	23336
336	11837	23288
337	11870	23248
338	11905	23213
339	11942	23182
340	11973	23139
341	12007	23101
342	12040	23062
343	12067	23013
344	12101	22976
345	12133	22934
346	12175	22913
347	12217	22890
348	12245	22841
349	12291	22826
350	12321	22782
351	12359	22752
352	12387	22704
353	12420	22665
354	12452	22625
355	12485	22585
356	12513	22538
357	12541	22490
358	12581	22464
359	12615	22427
360	12646	22384
361	12683	22353
362	12715	22313
363	12748	22275
364	12782	22237
365	12817	22203
366	12849	22162
367	12891	22139
368	12921	22095
369	12948	22046
370	12978	22003
371	13006	21957
372	13035	21912
